dosage,MedicineName
Tab,"LETROZOLE 2.5 MG TAB (PACK SIZE 1X10)"
Inj.,"LEUPROLIDE ACETATE 45MG INJ (PACK SIZE 1X1)"
Inj.,"METHOXY PEG EPOETIN BETA 100 MCG INJ (PACK 1X1)"
Inj.,"NATALIZUMAB 300 MG INJ (PACK SIZE 1X1)"
Caps,"NILOTONIB 150MG (PACK SIZE1X4)"
Inj.,"NONACOG BETA PEGOL AND GLYCOPEGYLATED RECOMBINANT 1000 IU INJ (PACK SIZE 1x1)"
Inj.,"NONACOG BETA PEGOL AND GLYCOPEGYLATED RECOMBINANT 500 IU INJ (PACK SIZE 1X1)"
Solution,"OMALIZUMAB150 MG (PACK SIZE 1X1)"
Inj.,"PEG-INTERFERON BETA 1A 125 MCG (1X1)"
Inj.,"PERTUZUMAB 1200MG/TRASTUZUMAB 600MG 1X1"
Inj.,"PERTUZUMAB 600MG/TRASTUZUMAB 600MG 1X1"
Caps,"POMALIDOMIDE 2 MG (PACK SIZE 1X21)"
Syrup,"POSACONAZOLE 40 MG (PACK SIZE 1X1)"
Inj.,"RANIBIZUMAB 0.5MG/0.05ML (PACK SIZE 1X1)"
Inj.,"RITUXIMAB 100MG (PACK SIZE 1X1)"
Inj.,"Romy Injection"
Tab,"RUXOLITINIB 20 MG (JAKAVI ) (PACK SIZE 1X10)"
Inj.,"SERPLULIMAB 100 MG/10 ML INJ (PACK SIZE 1X1)"
Tab,"SOFOSBUVIR 400 MG (PACK SIZE 1X28)"
Tab,"SUNITINIB MALATE 12.5 MG (PACK SIZE1X7)"
Inj.,"TAUROLIDINE 2GM/100ML INJ (PACK SIZE 1X1)"
Caps,"TEMOZOLOMIDE 100 MG (PACK SIZE1X5)"
Caps,"TEMOZOLOMIDE 250 MG (PACK SIZE1X5)"
Inj.,"TPGS DOCETAXEL 20 MG (PACK SIZE 1X1)"
Inj.,"TPGS DOCETAXEL 80 MG INJ (PACK SIZE 1X1)"
Inj.,"TRASTUZUMAB 150 MG (PACK SIZE 1X1)"
Inj.,"TRASTUZUMAB DERUXTECAN (ENHERTU) 100 MG INJ (PACK SIZE 1X1)"
Inj.,"TUROCTOCOG ALFA PEGOL (ESPEROCT 1000 IU) INJ"
Inj.,"TUROCTOCOG ALFA PEGOL (ESPEROCT 2000 IU)"
Inj.,"USTEKINUMAB 90 MG INJ (PACK SIZE 1x1)"
Tab,"VENETOCLAX 100 MG TAB (PACK SIZE 7X4 28 TAB)"
Tab,"VORASIDENIB 40 MG TAB (PACK SIZE 1x30)"
Inj.,"ADO-TRASTUZUMAB EMTANSINE (100mg) Inj. (PACK 1X1)"
Inj.,ALBUTEIN
Tab,"ALPELISIB 150MG TAB (PACK 1X28)"
Tab,"ALPELISIB 250MG TAB (PACK 1X14 )"
Tab,"ASCIMINIB (KYZIFIC) FCT 40 MG (PACK SIZE 1X60)"
Inj.,"ATEZOLIZUMAB 1875 MG/ 15 ML (TECENTRIQ) (1X1)"
Inj.,"BENRALIZUMAB 30 MG PFS INJ (PACK SIZE 1X1)"
Inj.,"BRENTUXIMAB VEDOTIN 50MG INJ (PACK SIZE 1 X 1)"
Liquid,"(CAPD)(BAXTER)CAPD 2.5%(LOW CALCIULM) 2 LTR(1X1)"
Device,"(CAPD)(BAXTER)DRAIN BAG 15 LTR(PACK SIZE 1X1)"
Liquid,"(CAPD)(FRESENIUS)CAPD SOLN 2.3% 2 LTR(1X1)"
Device,"(CAPD)(FRESENIUS)CATHETER ADAPTER LUER LOCK(1X1)"
Liquid,"(CAPD)(J MITRA)CAPD SOLN 4.25% 2 LTR (1X1)"
Device,"(CAPD)(J MITRA)TRICHOICE(PACK SIZE 1X1)"
Tab,"CAPECITABINE 400mg CYCLOPHOSPHAMIDE 20mg Tab (PACK SIZE 1X7)"
Tab,"CAPECITABINE 700 MG CYCLOPHOSPHAMIDE 30 MG Tab (PACK SIZE 1X7)"
Tab,"CAPMATINIB 150 MG TAB (PACK SIZE 1X60)"
Tab,"CAPMATINIB 200 MG TAB (PACK SIZE 1X60)"
Caps,"CERITINIB 150 MG (SPEXIB HGC) (PACK SIZE 1X150)"
Inj.,"CONCIZUMAB 150 MG PFS INJ (PACK SIZE 1X1)"
Inj.,"CONCIZUMAB 60 MG PFS INJ (PACK SIZE 1X1)"
Inj.,"CROSS LINKED SODIUM HYALURONATE 22MG/ML(88MG/4ML PFS(INJ MONOVISC 4ML SYRINGE)"
Tab,"DACLATASVIR 60 MG (PACK SIZE 1X28)"
Tab,"DAROLUTAMIDE 300 MG TAB (PACK SIZE 1X16)"
Tab,"DASATANIB 70 MG (PACK SIZE1X60)"
Inj.,"DEXAMETHASONE 0.7 MG (OZURDEX) (PACK SIZE 1X1)"
Inj.,"DOCETAXEL LIPID SUSP 80 MG (Pack Size 1X1)"
Inj.,"EMICIZUMAB 30MG/ML"
Inj.,"ENFORTUMAB VEDOTIN 20 mg INJ. (PACK SIZE 1x1)"
Tab,"ENTECAVIR 1MG (PACK SIZE 1X30)"
Caps,"ENTRECTINIB 100 mg Capsules (PACK SIZE 1x30)"
Caps,"ENTRECTINIB 200 mg Capsules (PACK SIZE 1x90)"
Inj.,"ERENUMAB SOLUTION INJ 70 mg/ml (PACK SIZE 1X1)(PFS)"
Inj.,"ERIBULIN MESYLATE 1mg INJ (PACK SIZE 1X1)"
Inj.,"ERYTHROPOIETIN 10K (PACK SIZE 1X1)"
Inj.,"ERYTHROPOIETIN 20K (PACK SIZE 1X1)"
Syringe,"FACTOR VIII RECOM III GEN 250 IU (ADVATE)(PACK SIZE 1X1)"
Syringe,"FACTOR VIII RECOM III GEN 250 IU(NOVOEIGHT)(PACK SIZE 1X1)"
Inj.,"FULVESTRANT 250 MG INJ (PACK SIZE 1X1)"
Inj.,"GCSF (GRANULOCYTE COLONY STIMULATING FACTOR) 300 MCG PACK SIZE (1X1)"
Tab,"GEFITINIB 250 MG TAB (PACK SIZE 1X10)"
Inj.,"GEMCITABINE 1 GM INJ (PACK SIZE 1X1)"
Inj.,"GEMCITABINE 200 MG (PACK SIZE 1X1)"
Caps,"IMATINIB MESYLATE 400MG CAP (PACK SIZE 1X10)"
Inj.,"Inj. Enfortumab Vedotin 30 mg (PACK SIZE 1x1)"
Tab,"IVOSIDENIB 250 MG (TIBSOVO) (PACK SIZE 1X60)"
Pfs,"IXEKIZUMAB 80 MG (COPELLOR ) PFS (PACK SIZE 1X1)"
Tab,"LEPIDASVIR (90MG) + SOFOSBUVIR (400MG) TAB (PACK 1X28)"
Inj.,"LEUPROLIDE 11.25 MG INJ (PACK SIZE 1X1)"
Tab,"LORLATINIB 100 MG TAB (PACK SIZE 3X5)"
Inj.,"Nab Taxhal 100mg/900mg Suspension For Injection"
Caps,"NINTEDANIB 150 MG (PACK SIZE 1X10)"
Caps,"OLAPARIB 150 MG (PACK SIZE 1X28)"
Inj.,"PEG FILGRASTIM 6 MG (PACK SIZE 1X1)"
Inj.,"PEGYLATED RECOM ERYTHROPOIETIN 50MCG (ERYPEG)(1X1)"
Inj.,"PEMETREXED 100MG (PACK SIZE 1X1)"
Inj.,"POLATUZUMAB VEDOTIN (POLIVY) 30 MG INJ (PACK 1X1)"
Inj.,"RAMUCIRUMAB 500 MG 50 ML INJ(PACK SIZE 1X1)"
Inj.,"RECOM INTER BETA 1A 30MCG (PACK SIZE1X1)"
Tab,"RIBOCICLIB SUCC 200 MG (KRYXANA FCT) (P. S. 1X21)"
Patch,"RIVASTIGMINE PATCH 15CM2 (EXELON) (PACK SIZE 1X30)"
Tab,"RUCAPARIB 200MG TAB (PACK SIZE 1X60)"
Inj.,"SARGRAMOSTIN 500 MCG (PACK SIZE1X1)"
Inj.,"SOMATROGON (GENRYZON) 60 MG INJ (PACK SIZE 1X1)"
Inj.,"SOTATERCEPT 45 MG INJ  (PACK SIZE 1X1)"
Inj.,"TECLISTAMAB 153 MG INJ (PACK 1X1)"
Inj.,"TRASTUZUMAB 440 MG (PACK SIZE 1X1)"
Tab,"VALGANCICLOVIR 450 MG (PACK SIZE 1X2)"
Inj.,"VEDOLIZUMAB 300 MG (KYNTELES) PACK (1X1)"
Inj.,"ZOLEDRONIC ACID 5 MG (PACK SIZE 1X1)"
Tab,"ABEMACICLIB 50 MG TAB (PACK SIZE 2X7)"
Inj.,"Ab-Taxomed Injection"
Inj.,"ADALIMUMAB 40 MG INJ (PACK SIZE 1x1) (EXEMPTIA)"
Inj.,"ADALIMUMAB 40MG INJ (PACK SIZE 1X1)(MABURA)"
Tab,"AFATINIB DIMALEATE 40 MG (PACK SIZE 1X28)"
Inj.,"AFLIBERCEPT 40 MG/ML (PACK SIZE 1X1)"
Tab,"ALPELISIB 200MG (PACK 1X14)"
Tab,"AMINOGLUTETHIMIDE TAB (PACK SIZE 10X1)"
Caps,"ANASTROZOLE 1MG (PACK SIZE 1X10)"
Tab,"AXITINIB 1 MG (PACK SIZE 1X14)"
Inj.,"AZACITIDINE 100 MG (PACK SIZE 1X1)"
Inj.,"BOTULINUM TOXIN A 100IU (PACK SIZE1X1)"
Liquid,"(CAPD)(BAXTER)CAPD 1.5%(LOW CALCIULM) 2 LTR(1X1)"
Liquid,"(CAPD)(BAXTER)CAPD SOLN 2.5% 2 LTR(PACK SIZE 1X1)"
Device,"(CAPD)(BAXTER)ULTRA Y SET SIMPLE DISCONNECT 3 LTR (PACK SIZE 1X1)"
Liquid,"(CAPD)(FRESENIUS)CAPD SOLN 4.5% 2 LTR(1X1)"
Device,"(CAPD)(FRESENIUS)CATHETER EXTENSION LINE(1X1)"
Device,"(CAPD)(J MITRA)DRESSING KIT(PACK SIZE 1X30)"
Inj.,"CARBOPLATIN 450 MG (PACK SIZE 1X1)"
Tab,"CHLORAMBUCIL 5 MG (PACK SIZE 1X30)"
Tab,"Comcapsy 400mg/20mg Tablet"
Caps,"CRIZOTINIB 200 MG (CRIZALK) (PACK SIZE 1X60)"
Inj.,"DARATUMUMAB 1800 MG INJ (PACK SIZE 1X1)"
Inj.,"DECITABINE 50 MG (PACK SIZE 1X1)"
Inj.,"DOCETAXEL 120MG (PACK SIZE 1X1)"
Inj.,"DURVALUMAB 120 MG( PACK SIZE 1X1)"
Tab,"ELTROMBOPAG OLAMINE 50 MG (PACK SIZE1X7)"
Inj.,"EMICIZUMAB 150MG/1ML"
Inj.,"EPIRUBICIN 10MG (PACK SIZE 1X1)"
Inj.,"EPTACOG ALFA (ACTIVATED) HUMAN RECOMBINANT COAGULATION FACTOR VII ACTIVATED 1 MG INJ (PACK SIZE 1x1)"
Inj.,"ERYTHROPOIETIN 4K (RENOCRIT) (PACK SIZE 1X1)"
Inj.,"ERYTHROPOIETIN 6K (PACK SIZE 1X1)"
Inj.,"ERYTHROPOIETIN 8K (PACK SIZE 1X1)"
Inj.,"ETANERCEPT 25MG INJ (PACK SIZE 1X1)"
Inj.,"ETANERCEPT 50 MG INJ (PACK SIZE 1X1)"
Tab,"EVEROLIMUS 0.25 MG TAB (PACK SIZE 1X10)"
Tab,"EXEMESTANE 25MG TAB (PACK SIZE 1X30)"
Syringe,"FACTOR VIII RECOM III GEN 500 IU(NOVOEIGHT)(PACK SIZE 1X1)"
Syringe,"FACTOR VIII WITH VW FACTOR 250 IU(IMMUNATE)(PACK SIZE 1X1)"
Inj.,"HYALURONIC ACID 60 mg (DUROLANE)(PACK SIZE 1X1)"
Inj.,"IMIGLUCERASE 400 IU INJ (PACK SIZE 1X1)"
Inj.,"IRINOTECAN HCL 40 MG INJ (PACK SIZE 1X1)"
Inj.,"LEUPROLIDE ACETATE 7.5MG INJ (PACK SIZE 1X1)"
Inj.,"LIPOSOMAL AMPHOTERICIN B 50 MG (1X1)"
Inj.,"METHOXY PEG EPOETIN BETA 75 MCG INJ (PACK 1X1)"
Caps,"NINTEDANIB 100 MG (PACK SIZE 1X10)"
Inj.,"NONACOG BETA PEGOL AND GLYCOPEGYLATED RECOMBINANT 2000 IU INJ (PACK SIZE 1X1)"
Inj.,"OCTREOTIDE 20 MG (PACK SIZE1X1)"
Inj.,"PACLITAXEL 300 MG (BD-TAXEL) (PACK SIZE 1X1)"
Inj.,"PACLITAXEL 30 MG INJ (PACK SIZE 1X1)"
Caps,"PALBOCICLIB 100 MG (PACK SIZE 1X21) "
Vial,"PEGYLATED LIPOSOMAL IRINOTECAN 4.3 MG/ML (PACK SIZE 1X1)"
Inj.,"PEGYLATED RECOM ERYTHROPOIETIN 100MCG (ERYPEG)(1X1)"
Inj.,"PEMBROLIZUMAB 100 MG (KEYTRUDA) (PACK SIZE 1X1)"
Caps,"POMALIDOMIDE 1 MG (PACK SIZE 1X21)"
Caps,"POMALIDOMIDE 4 MG (PACK SIZE 1X21)"
Inj.,"RAMUCIRUMAB 100 MG 10 ML INJ(PACK SIZE 1X1)"
Tab,"REGORAFENIB 40 MG(PACK SIZE 1X28)"
Inj.,"ROMIPLOSTIM 250mcg Inj (PACK SIZE 1X1)"
Inj.,"Romiset Injection"
Tab,"SOFOSBUVIR 400MG+VELPATASVIR 100MG (1X28)"
Inj.,"SOMATROPIN 18 IU (PACK SIZE 1X1)"
Solution,"TOCILIZUMAB 162MG (ACTEMRA) MONOPACK PREFILLED SYRINGE"
Inj.,"TOCILIZUMAB 400 MG (PACK SIZE 1X1)"
Inj.,"TOCILIZUMAB 80 MG (PACK SIZE 1X1)"
Inj.,"USTEKINUMAB 130 MG INJ (PACK SIZE 1x1)"
Inj.,"ADO-TRASTUZUMAB EMTANSINE (160mg) Inj. (PACK 1X1)"
Tab,"AFATINIB DIMALEATE 30 MG (PACK SIZE 1X28)"
Inj.,"ALBUMIN BOUND PACLITAXEL 100 MG (PACK SIZE1X1)"
Inj.,"AMIVANTAMAB 350 MG INJ (PACK SIZE 1X1)"
Tab,"APALUTAMIDE 60 MG TAB (PACK SIZE 1X120)"
Tab,"APALUTAMIDE 60 MG TAB (PACK SIZE 1X60)"
Tab,"BARICITINIB 4 MG (PACK 1X7)"
Inj.,"BENDAMUSTINE HCL 100 MG (PACK SIZE 1X1)"
Tab,"BICALUTAMIDE 50MG (PACK SIZE1X30)"
Inj.,"BIOVISC ORTHO SINGLE 90MG 3 ML HYALURONIC ACID"
Inj.,"BORTEZOMIB 2 MG (PACK SIZE1X1)"
Device,"(CAPD)(BAXTER) 4-PRONG PD SET(PACK SIZE 1X1)"
Liquid,"(CAPD)(BAXTER)CAPD SOL 1.5% 2 LTR(PACK SIZE 1X1)"
Liquid,"(CAPD)(BAXTER)CAPD SOLN 2.5% 5 LTR(PACK SIZE 1X1)"
Device,"(CAPD)(BAXTER)CLAMP(PACK SIZE 1X1)"
Device,"(CAPD)(BAXTER) EXTRANEAL (ICODEXTRIN 7.5%)(1X1)"
Device,"(CAPD)(FRESENIUS)ORGANISER(PACK SIZE 1X1)"
Device,"(CAPD)(J MITRA)TRANSFER SET(PACK SIZE 1X1)"
Inj.,"CARFILAZOMIB 60 MG (CARFIZOME) (PACK SIZE 1X1)"
Syrup,"CYCLOSPORIN SYP 100MG (ARPIMUNE ME LIQUIED)"
Caps,"DABRAFENIB 75 MG CAP (PACK SIZE 1X28)"
Inj.,"DARBEPOIETIN 100 MCG (PACK SIZE 1X1)"
Tab,"DASATANIB 50 MG (PACK SIZE1X60)"
Inj.,"DEGARELIX 80 MG INJ (PACK SIZE 1X1)"
Syringe,"DESFERIOXAMINE 500MG (DESFERAL) (PACK SIZE 1X10)"
Inj.,"DOCETAXEL 20 MG (PACK SIZE 1X1)"
Inj.,"DOCETAXEL LIPID SUSP 20 MG (PACK SIZE 1X1)"
Inj.,"ECULIZUMAB 300MG/30ML INJ (PACK SIZE 1X1)"
Inj.,"EMICIZUMAB 60MG/0.4M"
Inj.,"ERENUMAB SOLUTION INJ 70 MG/ML (PACK SIZE 1X1)"
Inj.,"ERYTHROPOIETIN 2K (PACK SIZE 1X1)"
Syringe,"ERYTHROPOIETIN 5K (PACK SIZE 1X1)"
Tab,"EVEROLIMUS 10 MG (PACK SIZE 1X10)"
Tab,"EVEROLIMUS 5 MG TAB (PACK SIZE 1X10)"
Inj.,"EVOLOCUMAB 140 MG INJ (PACK SIZE 1X1)"
Syringe,"FACTOR IX (HUMAN) 600 IU (PACK SIZE 1X1)"
Syringe,"FACTOR VIII RECOM III GEN 1500 IU(ADVATE)(1X1)"
Solution,"GUSELKUMAB 100 mg SOLUTION (PACK SIZE 1X1)"
Caps,"IBRUTINIB 140 MG TAB (PACK SIZE 1X90)"
Inj.,"Interferon Beta-1 B (250mcg) Inj. (PACK SIZE 1X1)"
Inj.,"IRINOTECAN HCL 100 MG INJ (PACK SIZE 1X1)"
Tab,"LAPATINIB 250 MG TAB (PACK SIZE 1X30)"
Tab,"LENALIDOMIDE 10 MG (PACK SIZE 1X30)"
Tab,"LENALIDOMIDE 10 MG TAB (PACK SIZE 1X10)"
Caps,"LENVATINIB 10 MG CAP (PACK SIZE 1X30)"
Inj.,"LIPOSOMAL DOXORUBICIN 20 MG INJ (PACK SIZE 1X1)"
Tab,"LORLATINIB 25MG TAB (PACK SIZE 3X5)"
Inj.,"LUSPATERCEPT 25 MG INJ (PACK SIZE 1X1)"
Inj.,"LUSPATERCEPT 75 MG INJ (PACK SIZE 1X1)"
Pfs,"MEPOLIZUMAB 100 MG INJ (PACK SIZE 1X1)(PFS)"
Inj.,"NIMOTUZUMAB 50MG (BIOMAB) (PACK SIZE 1X4)"
Tab,"NIRAPARIB 100 MG TAB (PACK SIZE 8X7)"
Inj.,"NIVOLUMAB 100 MG INJ (PACK SIZE 1X1)"
Inj.,"NIVOLUMAB 40 MG INJ (PACK SIZE 1X1)"
Inj.,"OCRELIZUMAB (OCREVUS) 300MG/1 ML INJ"
Inj.,"OCTREOTIDE 30 MG (PACK SIZE1X1)"
Inj.,"OXALIPLATIN 100MG (PACK SIZE 1X1)"
Inj.,"OXALIPLATIN 50 MG (PACK SIZE 1X1)"
Inj.,"PACLITAXEL 100 MG INJ (PACK SIZE 1X1)"
Caps,"PALBOCICLIB 75 MG (PACK SIZE 1X21)"
Inj.,"PANITUMUMAB 100 MG (PACK SIZE 1X1)"
Inj.,"PEG INTERFERON ALPHA 2B 80 MCG (PEGIHEP) (1X1)"
Inj.,"PEMETREXED 500 MG (PACK SIZE 1X1)"
Inj.,"PERTUZUMAB 420 MG PER 14 ML (PACK SIZE 1X1)"
Solution,"RISDIPLAM 60 MG (PACK SIZE 1X1)"
Inj.,"ROMOSOZUMAB 105 MG/1.17 ML INJ (PACK SIZE 2PFS x 1)"
Tab,"RUCAPARIB 300MG TAB (PACK SIZE 1X60)"
Tab,"RUXOLITINIB 5 MG (JAKAVI ) (PACK SIZE 1X10"
Syringe,"SOMATROPIN 36 IU (PACK SIZE 1X1)"
Inj.,"SOMATROPIN 45 IU (NORDITROPIN) (PACK SIZE1X1)"
Syringe,"SOMATROPIN IP - 4IU (1.33MG/ML)(PACKSIZE 1X1)"
Tab,"SORAFENIB 200MG (SORANIB) (PACK SIZE1X30)"
Tab,"SUNITINIB MALATE 25 MG (PACK SIZE1X7)"
Inj.,"TECLISTAMAB 30 MG INJ (PACK 1X1)"
Caps,"TEMOZOLOMIDE 20 MG (PACK SIZE1X5)"
Inj.,"TPGS DOCETAXEL 120 MG (PACK SIZE 1X1)"
Caps,"TRIENTINE 250MG TAB (PACK SIZE 1X30)"
Tab,"V Gavir 450 mg"
Tab,"VORICONAZOLE 200 MG (PACK SIZE 1X4)"
Tab,"ZANUBRUTINIB 80MG TAB (PACK SIZE 1X120)"
Tab,"ABEMACICLIB 100MG TAB (PACK SIZE 2X7)"
Tab,"ABEMACICLIB 150MG (PACK SIZE 2X7)"
Tab,"ABEMACICLIB 200MG TAB (PACK SIZE 2X7)"
Tab,"ACALABRUTINIB 100MG TAB (PACK SIZE X 30)"
Inj.,"ATEZOLIZUMAB 1200 MG/ 20 ML (TECENTRIQ) (1X1)"
Tab,"AXITINIB 5 MG (PACK SIZE 1X14)"
Inj.,"BEVACIZUMAB 100 MG INJ (VERSAVO)(PACK SIZE 1X1)"
Inj.,"BOTULINUM TOXIN A 50IU (PACK SIZE 1X1)"
Inj.,"BROLUCIZUMAB 120 MG/ML INJ (PACK 1X1)"
Inj.,"CABAZITAXEL 60 MG (PACK SIZE 1X1)"
Liquid,"(CAPD)(BAXTER) CAPD 1.5% 2.5 LTR(PACK SIZE 1X1)"
Liquid,"(CAPD)(FRESENIUS)CAPD SOLN 1.5% 2 LTR(1X1)"
Device,"(CAPD)(FRESENIUS)DISINFECTION SAFETY CAP(1X1)"
Liquid,"(CAPD)(J MITRA)CAPD SOLN 2.5% 2 LTR(PACK SIZE 1X1)"
Device,"(CAPD)(J MITRA)TITANIUM ADOPTER(PACK SIZE 1X1)"
Tab,"CAPECITABINE 500MG (PACK SIZE 1X10)"
Inj.,"CARBOPLATIN 150MG (PACK SIZE 1X1)"
Inj.,"CETUXIMAB 100 MG (CETUXA) (PACK SIZE 1X1)"
Tab,"CHLORAMBUCIL 2 MG (PACK SIZE 1X30)"
Inj.,"CLOSTRIDIUM BORULINUM TYPE A 500 IU (DYSPORT)(1X1)"
Tab,"CRIZOTINIB 250 MG (CRIZALK) (PACK SIZE 1X60)"
Inj.,"DARBEPOIETIN 25 MCG (PACK SIZE 1X1)"
Tab,"DASATANIB 20 MG (PACK SIZE1X60)"
Tab,"DEFERASIROX 100MG (PACK SIZE 1X10)"
Tab,"DEFERASIROX 250 MG (PACK SIZE 1X10)"
Tab,"DEFERASIROX 400MG (PACK SIZE 1X10)"
Inj.,"DEGARELIX 240 MG INJ (1 PACK SIZE - 2 INJ of 120 mg)"
Inj.,"DENOSUMAB 60 MG - (PACK SIZE 1X1)"
Caps,"DIMETHYL FUMARATE 120 MG (PACK 1X10)"
Caps,"DIMETHYL FUMARATE 240 MG (PACK 1X10)"
Inj.,"DOCETAXEL 80 MG (PACK SIZE 1X1)"
Inj.,"DURVALUMAB 500 MG"
Tab,"ELTROMBOPAG OLAMINE 25 MG (PACK SIZE1X7)"
Inj.,"EMICIZUMAB 105MG/0.7ML"
Caps,"ENZALUTAMIDE 40 MG CAP (PACK SIZE 1X7) ENZANA"
Inj.,"EPIRUBICIN 50MG (PACK SIZE 1X1)"
Inj.,"EPTACOG ALFA (ACTIVATED) HUMAN RECOMBINANT COAGULATION FACTOR VII ACTIVATED 2MG (PACK SIZE 1X1)"
Inj.,"ERYTHROPOIETIN 4K (RELIPOIETIN) (PACK SIZE 1X1)"
Syringe,"FACTOR VIII RECOM III GEN 1000 IU (NOVOEIGHT)(PACK SIZE 1X1)"
Syringe,"FACTOR VIII RECOM III GEN 500 IU(XYNTHOPHILIA) (PACK SIZE 1X1)"
Inj.,"FARICIMAB (VABYSMO) 6 MG/0.05 ML (PACK SIZE 1x1)"
Tab,"GILTERITINIB (XOSPATA) 40 MG TAB (PACK SIZE 1X21)"
Inj.,"human Albumin (20%) Inj."
Inj.,"HYALURONIC ACID 40MG SORBITOL 80MG(HYLASTO S) (PACK SIZE 1X1)"
Caps,"IMATINIB MESYLATE 100 MG CAP (PACK SIZE 1X10)"
Inj.,"INJ. INCLISIRAN (SYBRAVA) 284 MG/1.5 ML"
Inj.,"INTERFERON BETA 1A 44 MCG INJ (PACK SIZE 1X1)"
Inj.,"IPILIMUMAB 50 MG INJ(PACK SIZE 1X1)"
Inj.,"IV IG (INTRAVENOUS  IMMUNOGLOBULIN) 5 GM Inj. (PACK1X1)"
Caps,"LENALIDOMIDE 15 MG TAB (PACK SIZE 1X7)"
Caps,"LENVATINIB 4 MG CAP (PACK SIZE 1X7)"
Inj.,"LEUPROLIDE 22.5 MG INJ (PACK SIZE 1X1)"
Inj.,"LEUPROLIDE 3.75 MG INJ (PACK SIZE 1X1)"
Inj.,"METHOXY PEG EPOETIN BETA 50 MCG INJ (PACK 1X1)"
Caps,"NILOTONIB 200MG (PACK SIZE1X4)"
Inj.,"NIVOLUMAB 240 MG INJ (PACK SIZE 1X1)"
Tab,"OLAPARIB 100 MG (PACK SIZE 1X28)"
Tab,"OSIMERTINIB 80 MG (TAGRISSO) (PACK SIZE 1X30)"
Inj.,"PACLITAXEL 260 MG INJ (PACK SIZE 1X1)"
Caps,"PALBOCICLIB 125 MG (PACK SIZE 1X21)"
